session_id,target
1,0.0013501408183923932
2,6.778314853912874e-07
3,1.416349148686556e-08
4,1.080931023536777e-09
5,2.403380491043595e-05
6,0.0001436496675719564
7,0.0005787805823695792
8,0.00022189754678774443
9,2.981826392342059e-05
10,0.019103566952492813
11,1.5112184777529828e-05
12,4.332355612320569e-06
13,0.00025964230594370253
14,0.029951196063908943
15,0.00016426664652272006
16,0.002003501126015108
17,0.019124221963573645
18,1.8211597933013485e-06
19,0.0006519452754101794
20,1.1051735731744826e-07
21,0.023812905242405015
22,4.905245214106431e-07
23,2.3531848778977406e-05
24,0.003011380884340653
25,0.07655168218203647
26,1.1471217916143557e-08
27,3.537980354249878e-05
28,5.224911415122718e-09
29,0.02153764101258892
30,0.0004089299984902762
31,0.02737381956014677
32,0.013067016627839231
33,0.0002261479145823298
34,2.1163519549202905e-07
35,0.023881076178672463
36,0.00033583225133284195
37,7.956748539541264e-11
38,7.447427637646793e-07
39,6.431440041320495e-05
40,1.793641030855204e-06
41,0.000363864625809015
42,0.01586950859759431
43,2.795169595703954e-06
44,1.6227836550601823e-05
45,0.3440573438594712
46,4.2143350279844965e-05
47,0.00020417026196050482
48,0.00022782920386872694
49,2.8442486268837113e-05
50,1.8783316364207304e-07
51,9.461393951562384e-10
52,6.6060762694618756e-06
53,0.021730425189086692
54,0.00010925051998094563
55,1.1129463374010569e-05
56,0.009527237471373396
57,3.7398883268955945e-08
58,5.109019246748761e-07
59,1.9791855391073177e-05
60,4.804358951489242e-07
61,2.4056717813681824e-07
62,6.157487213259085e-05
63,1.108553396813777e-05
64,2.0619479002351486e-05
65,8.928108737878558e-07
66,3.595511880905056e-07
67,1.4731668521411923e-05
68,0.0003514155396789423
69,0.0639555515651727
70,7.437470966450496e-06
71,0.00036230906187607957
72,7.193478977536011e-05
73,0.23500786167396498
74,2.326919285443794e-06
75,3.1091371880118006e-05
76,0.000443258628504252
77,0.00021598352898148326
78,0.0024671078863885494
79,6.823009771768584e-06
80,2.626855789804424e-06
81,4.29643758563377e-07
82,0.00030433989380157023
83,8.011451524445817e-09
84,0.6209927632045599
85,1.3585034262687468e-05
86,3.2445001319841283e-07
87,0.0022636809525440186
88,0.00023218386882636232
89,0.0006477497759735611
90,0.032021614993030495
91,7.652337605224767e-06
92,8.064788136712563e-06
93,0.05770545500443317
94,3.844700223739842e-05
95,0.12232475133142522
96,1.1851544485599972e-06
97,0.00017345946639085047
98,2.8513552513740637e-05
99,1.2062682963426254e-06
100,4.545788174881977e-05
101,9.660556998997827e-06
102,0.15823630912704045
103,5.1237053879961796e-05
104,5.188902850581843e-05
105,7.317978133466701e-06
106,6.530573572503328e-06
107,0.004990252812147838
108,1.4793313049443082e-05
109,3.9722805371415735e-07
110,2.316005439833028e-06
111,6.082064913515988e-05
112,3.5726748352139415e-09
113,0.0035022156370170137
114,9.291201479435822e-08
115,1.5624002578324373e-06
116,2.2314036118627156e-05
117,4.42424214580016e-05
118,0.0016797306635898512
